id,employee_id,department,manager,category,description,resolution,status,priority,created_at,resolved_at
59,1142,Finance,Michael Brown,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Medium,2026-04-14,2026-04-26
60,1104,Finance,Sarah Johnson,Career Development,Promotion process lacks transparency.,Career Progression Framework,Resolved,Low,2026-06-07,2026-06-19
61,1120,Finance,Robert Taylor,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Critical,2026-06-05,2026-06-18
62,1022,HR,Emily Davis,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,In Progress,High,2026-02-13,
63,1061,HR,Michael Brown,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,In Progress,High,2026-01-24,
64,1063,Technology,David Wilson,Career Development,Promotion process lacks transparency.,Career Progression Framework,In Progress,Critical,2026-01-12,
65,1148,Engineering,Emily Davis,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,In Progress,Medium,2026-04-17,
66,1038,Finance,Emily Davis,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,In Progress,Low,2026-03-04,
67,1133,Technology,Sarah Johnson,Career Development,Promotion process lacks transparency.,Career Progression Framework,In Progress,Critical,2026-06-28,
68,1119,Marketing,David Wilson,Career Development,Promotion process lacks transparency.,Career Progression Framework,Resolved,High,2026-04-27,2026-05-04
69,1141,Sales,Robert Taylor,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,In Progress,Critical,2026-04-20,
70,1064,Finance,Emily Davis,Career Development,Promotion process lacks transparency.,Career Progression Framework,In Progress,High,2026-03-08,
71,1074,Technology,Michael Brown,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Medium,2026-04-23,2026-04-28
72,1060,HR,David Wilson,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Critical,2026-02-05,2026-02-12
73,1085,Technology,David Wilson,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Critical,2026-04-17,2026-05-03
74,1148,Marketing,Emily Davis,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Critical,2026-04-10,2026-04-13
75,1138,Operations,Michael Brown,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Medium,2026-04-10,2026-04-26
76,1087,Finance,Emily Davis,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Critical,2026-01-08,2026-01-23
77,1007,Finance,Sarah Johnson,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Critical,2026-06-09,2026-06-29
78,1035,Engineering,David Wilson,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Critical,2026-06-14,2026-06-30
79,1084,Finance,Michael Brown,Career Development,Promotion process lacks transparency.,Career Progression Framework,Resolved,High,2026-02-24,2026-03-13
80,1121,Marketing,Emily Davis,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Low,2026-03-06,2026-03-11
81,1011,Operations,Sarah Johnson,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Low,2026-06-16,2026-06-21
82,1033,Engineering,Robert Taylor,Career Development,Promotion process lacks transparency.,Career Progression Framework,Resolved,Critical,2026-02-09,2026-02-19
83,1095,Technology,Emily Davis,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Medium,2026-06-29,2026-07-10
84,1080,Sales,David Wilson,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,In Progress,Low,2026-02-11,
85,1102,Operations,Robert Taylor,Career Development,Career growth discussions never happen.,Quarterly Career Reviews,Resolved,Medium,2026-06-23,2026-07-08
86,1031,Marketing,Sarah Johnson,Career Development,Promotion process lacks transparency.,Career Progression Framework,Resolved,Low,2026-01-27,2026-02-08
87,1088,Sales,Michael Brown,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Low,2026-01-18,2026-02-06
88,1118,Engineering,Emily Davis,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,In Progress,Medium,2026-04-03,
89,1124,HR,Michael Brown,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Critical,2026-06-07,2026-06-27
90,1063,HR,Michael Brown,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,In Progress,Low,2026-03-24,
91,1098,Technology,Emily Davis,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Submitted,High,2026-05-26,
92,1091,Operations,Sarah Johnson,Career Development,Promotion process lacks transparency.,Career Progression Framework,Resolved,High,2026-05-05,2026-05-14
93,1133,HR,Michael Brown,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Medium,2026-05-23,2026-05-26
94,1122,Finance,Emily Davis,Career Development,Promotion process lacks transparency.,Career Progression Framework,Resolved,Critical,2026-05-23,2026-06-02
95,1104,Engineering,Michael Brown,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,In Progress,Medium,2026-02-26,
96,1136,Operations,Emily Davis,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,In Progress,High,2026-05-22,
97,1117,HR,Michael Brown,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Submitted,High,2026-04-01,
98,1138,Engineering,Sarah Johnson,Career Development,No promotion criteria for senior engineers.,Engineering Career Ladder,Resolved,Medium,2026-03-22,2026-03-28
99,1073,Finance,Michael Brown,Career Development,Promotion process lacks transparency.,Career Progression Framework,Resolved,Low,2026-05-31,2026-06-19
100,1137,Operations,Sarah Johnson,Career Development,Promotion process lacks transparency.,Career Progression Framework,Resolved,Medium,2026-03-19,2026-03-22
101,1126,Engineering,Robert Taylor,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Resolved,Low,2026-03-16,2026-03-23
102,1048,Finance,Emily Davis,Compensation,Salary increment delayed.,Compensation Review Committee,Resolved,Low,2026-04-23,2026-05-06
103,1103,Finance,David Wilson,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Submitted,Critical,2026-01-17,
104,1145,Sales,David Wilson,Compensation,Salary increment delayed.,Compensation Review Committee,Resolved,High,2026-02-08,2026-02-15
105,1058,Engineering,Robert Taylor,Compensation,Salary increment delayed.,Compensation Review Committee,Submitted,Critical,2026-04-17,
106,1079,Operations,Robert Taylor,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Submitted,Low,2026-04-20,
107,1055,Engineering,Sarah Johnson,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Submitted,High,2026-06-10,
108,1041,Technology,Sarah Johnson,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Resolved,Low,2026-05-22,2026-05-27
109,1060,HR,Emily Davis,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Resolved,High,2026-03-16,2026-03-20
110,1068,Marketing,Emily Davis,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Resolved,Medium,2026-01-19,2026-01-29
111,1019,Technology,Sarah Johnson,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Resolved,Low,2026-03-10,2026-03-17
112,1113,HR,Robert Taylor,Compensation,Salary increment delayed.,Compensation Review Committee,In Progress,Low,2026-03-15,
113,1129,Sales,Emily Davis,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,In Progress,Critical,2026-03-11,
114,1007,Engineering,Emily Davis,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Resolved,Low,2026-03-24,2026-04-04
115,1006,Marketing,Robert Taylor,Compensation,Salary increment delayed.,Compensation Review Committee,Submitted,High,2026-05-31,
116,1114,Marketing,Sarah Johnson,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Resolved,High,2026-05-01,2026-05-20
117,1121,Finance,Emily Davis,Compensation,Salary increment delayed.,Compensation Review Committee,Submitted,High,2026-01-24,
118,1106,Sales,David Wilson,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Resolved,Critical,2026-02-11,2026-02-24
119,1117,Finance,Robert Taylor,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,In Progress,Low,2026-01-10,
120,1139,Engineering,Emily Davis,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Resolved,Critical,2026-05-12,2026-05-15
121,1114,HR,Michael Brown,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Resolved,Low,2026-06-09,2026-06-27
122,1032,Technology,Michael Brown,Compensation,Salary increment delayed.,Compensation Review Committee,Resolved,Low,2026-04-23,2026-05-11
123,1142,Technology,Sarah Johnson,Compensation,Market salary adjustment pending.,Salary Benchmark Review,In Progress,Low,2026-03-21,
124,1040,Technology,David Wilson,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Resolved,Critical,2026-04-29,2026-05-05
125,1121,Sales,Michael Brown,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Resolved,Medium,2026-04-17,2026-05-05
126,1035,Finance,Sarah Johnson,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Resolved,Low,2026-06-03,2026-06-22
127,1130,Marketing,Emily Davis,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,In Progress,High,2026-03-29,
128,1039,Operations,Robert Taylor,Compensation,Salary increment delayed.,Compensation Review Committee,Resolved,Critical,2026-05-29,2026-06-16
129,1117,Operations,Robert Taylor,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Resolved,High,2026-05-20,2026-06-04
130,1060,Technology,Robert Taylor,Compensation,Salary increment delayed.,Compensation Review Committee,Submitted,Critical,2026-04-09,
131,1127,Finance,Emily Davis,Compensation,Salary increment delayed.,Compensation Review Committee,Resolved,Low,2026-04-09,2026-04-16
132,1026,HR,Michael Brown,Compensation,Salary increment delayed.,Compensation Review Committee,Resolved,Critical,2026-01-26,2026-02-12
133,1121,Finance,Sarah Johnson,Compensation,Salary increment delayed.,Compensation Review Committee,In Progress,High,2026-01-20,
134,1137,Finance,David Wilson,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,In Progress,Critical,2026-03-26,
135,1010,Marketing,Emily Davis,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,In Progress,Low,2026-05-19,
136,1112,Operations,Sarah Johnson,Compensation,Salary increment delayed.,Compensation Review Committee,In Progress,Low,2026-01-24,
137,1077,Engineering,Emily Davis,Compensation,Market salary adjustment pending.,Salary Benchmark Review,In Progress,Low,2026-02-12,
138,1111,Engineering,Michael Brown,Compensation,Salary increment delayed.,Compensation Review Committee,Resolved,Medium,2026-04-02,2026-04-16
139,1021,HR,Sarah Johnson,Compensation,Salary increment delayed.,Compensation Review Committee,Resolved,Critical,2026-02-13,2026-02-21
140,1060,Finance,Robert Taylor,Compensation,Market salary adjustment pending.,Salary Benchmark Review,In Progress,Critical,2026-02-06,
141,1140,Operations,David Wilson,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Resolved,Medium,2026-04-30,2026-05-12
142,1065,Operations,Robert Taylor,Compensation,Salary increment delayed.,Compensation Review Committee,Resolved,Critical,2026-03-18,2026-04-03
143,1098,Finance,Emily Davis,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Resolved,High,2026-01-28,2026-02-07
144,1071,Sales,Michael Brown,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Resolved,Low,2026-01-06,2026-01-21
145,1128,Marketing,David Wilson,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Submitted,High,2026-06-05,
146,1049,Operations,Sarah Johnson,Compensation,Salary increment delayed.,Compensation Review Committee,In Progress,High,2026-06-12,
147,1025,Marketing,Sarah Johnson,Compensation,Market salary adjustment pending.,Salary Benchmark Review,In Progress,Low,2026-06-10,
148,1034,Engineering,Robert Taylor,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,In Progress,Low,2026-04-04,
149,1139,Finance,Sarah Johnson,Compensation,Bonus policy is unclear.,Published Bonus Guidelines,Resolved,High,2026-02-21,2026-02-28
150,1076,Operations,Sarah Johnson,Compensation,Market salary adjustment pending.,Salary Benchmark Review,Resolved,High,2026-03-07,2026-03-25
151,1143,Engineering,Sarah Johnson,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,High,2026-02-27,2026-03-14
152,1032,Engineering,Michael Brown,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,In Progress,Critical,2026-05-18,
153,1098,Sales,Michael Brown,Developer Experience,Legacy monolith slows development.,Microservice Migration,In Progress,High,2026-05-30,
154,1144,Finance,David Wilson,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,In Progress,High,2026-06-08,
155,1105,Engineering,Emily Davis,Developer Experience,No automated testing.,QA Automation Pipeline,Resolved,Low,2026-06-29,2026-07-11
156,1025,Engineering,Michael Brown,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,Medium,2026-05-07,2026-05-13
157,1108,Finance,Michael Brown,Developer Experience,No automated testing.,QA Automation Pipeline,Resolved,Medium,2026-06-21,2026-07-11
158,1105,Marketing,Emily Davis,Developer Experience,Legacy monolith slows development.,Microservice Migration,In Progress,High,2026-06-07,
159,1061,Technology,Emily Davis,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,In Progress,High,2026-04-24,
160,1092,Operations,Robert Taylor,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Submitted,Low,2026-06-15,
161,1006,Engineering,Emily Davis,Developer Experience,Legacy monolith slows development.,Microservice Migration,Resolved,Low,2026-01-24,2026-02-02
162,1142,Technology,Robert Taylor,Developer Experience,Legacy monolith slows development.,Microservice Migration,Resolved,Medium,2026-02-22,2026-02-27
163,1001,Marketing,Sarah Johnson,Developer Experience,No automated testing.,QA Automation Pipeline,Resolved,High,2026-03-26,2026-04-02
164,1029,HR,Michael Brown,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Submitted,Low,2026-02-14,
165,1005,Marketing,Sarah Johnson,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,Medium,2026-05-31,2026-06-13
166,1017,Sales,Emily Davis,Developer Experience,Legacy monolith slows development.,Microservice Migration,Resolved,Critical,2026-05-15,2026-05-21
167,1116,HR,Robert Taylor,Developer Experience,Legacy monolith slows development.,Microservice Migration,In Progress,Medium,2026-01-28,
168,1008,Marketing,Robert Taylor,Developer Experience,No automated testing.,QA Automation Pipeline,Resolved,Low,2026-03-19,2026-04-05
169,1114,Finance,David Wilson,Developer Experience,Legacy monolith slows development.,Microservice Migration,In Progress,Low,2026-05-06,
170,1150,Technology,David Wilson,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,High,2026-02-02,2026-02-13
171,1130,HR,Michael Brown,Developer Experience,Legacy monolith slows development.,Microservice Migration,Submitted,Critical,2026-04-27,
172,1111,Engineering,Robert Taylor,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,In Progress,Critical,2026-02-25,
173,1025,Marketing,Emily Davis,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,High,2026-04-13,2026-04-29
174,1018,Operations,Michael Brown,Developer Experience,Legacy monolith slows development.,Microservice Migration,Resolved,Low,2026-02-09,2026-02-27
175,1016,Engineering,Michael Brown,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,High,2026-02-03,2026-02-23
176,1080,Operations,Emily Davis,Developer Experience,No automated testing.,QA Automation Pipeline,Resolved,High,2026-01-14,2026-01-26
177,1058,Technology,Sarah Johnson,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,Low,2026-06-18,2026-07-06
178,1147,Operations,David Wilson,Developer Experience,Legacy monolith slows development.,Microservice Migration,In Progress,Medium,2026-03-13,
179,1143,Marketing,Robert Taylor,Developer Experience,Legacy monolith slows development.,Microservice Migration,In Progress,Low,2026-06-07,
180,1047,Marketing,Michael Brown,Developer Experience,No automated testing.,QA Automation Pipeline,Submitted,High,2026-01-08,
181,1047,Operations,Michael Brown,Developer Experience,No automated testing.,QA Automation Pipeline,In Progress,Medium,2026-01-02,
182,1008,Engineering,Sarah Johnson,Developer Experience,No automated testing.,QA Automation Pipeline,In Progress,Low,2026-06-12,
183,1041,Finance,Emily Davis,Developer Experience,No automated testing.,QA Automation Pipeline,Resolved,High,2026-04-27,2026-05-10
184,1022,Marketing,Robert Taylor,Developer Experience,Legacy monolith slows development.,Microservice Migration,In Progress,Low,2026-06-02,
185,1070,HR,David Wilson,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,Critical,2026-06-22,2026-06-27
186,1056,HR,Emily Davis,Developer Experience,No automated testing.,QA Automation Pipeline,Resolved,Low,2026-04-17,2026-04-28
187,1079,Operations,Robert Taylor,Developer Experience,Legacy monolith slows development.,Microservice Migration,Resolved,Low,2026-05-05,2026-05-24
188,1078,HR,David Wilson,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,Medium,2026-01-02,2026-01-11
189,1002,Operations,Michael Brown,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,In Progress,Critical,2026-01-31,
190,1129,Technology,Emily Davis,Developer Experience,No automated testing.,QA Automation Pipeline,Resolved,High,2026-05-17,2026-05-27
191,1118,Sales,David Wilson,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,Low,2026-04-22,2026-04-25
192,1075,HR,Emily Davis,Developer Experience,Legacy monolith slows development.,Microservice Migration,Resolved,Low,2026-06-13,2026-06-29
193,1093,Operations,Sarah Johnson,Developer Experience,Legacy monolith slows development.,Microservice Migration,Resolved,Low,2026-06-08,2026-06-25
194,1103,Technology,Emily Davis,Developer Experience,Legacy monolith slows development.,Microservice Migration,In Progress,Low,2026-05-31,
195,1086,Sales,Michael Brown,Developer Experience,Legacy monolith slows development.,Microservice Migration,Submitted,Medium,2026-02-26,
196,1090,Engineering,Robert Taylor,Developer Experience,Build pipeline takes 45 minutes.,CI/CD Optimization,Resolved,High,2026-05-11,2026-05-20
197,1027,Sales,Sarah Johnson,Developer Experience,No automated testing.,QA Automation Pipeline,Submitted,Medium,2026-03-02,
198,1046,HR,Sarah Johnson,Developer Experience,Legacy monolith slows development.,Microservice Migration,Resolved,Critical,2026-06-17,2026-06-22
199,1145,Marketing,Robert Taylor,Developer Experience,Legacy monolith slows development.,Microservice Migration,In Progress,High,2026-04-25,
200,1078,Finance,David Wilson,Developer Experience,No automated testing.,QA Automation Pipeline,Resolved,High,2026-05-01,2026-05-18
201,1116,HR,David Wilson,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,Low,2026-03-21,2026-04-07
202,1130,Operations,David Wilson,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,Critical,2026-06-15,2026-06-20
203,1083,Marketing,David Wilson,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,Resolved,Critical,2026-04-26,2026-05-05
204,1022,Engineering,Emily Davis,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,Medium,2026-01-27,2026-02-09
205,1041,Finance,Emily Davis,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,High,2026-05-15,2026-06-03
206,1014,Finance,Emily Davis,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,Submitted,High,2026-03-28,
207,1039,HR,Emily Davis,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,High,2026-03-14,2026-03-25
208,1034,Technology,Michael Brown,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,Low,2026-03-21,2026-04-05
209,1024,Sales,Michael Brown,Work Environment,Poor ergonomic chairs.,Workspace Upgrade,Resolved,Critical,2026-02-02,2026-02-21
210,1088,Operations,Michael Brown,Work Environment,Meeting rooms unavailable.,Workspace Expansion,Resolved,Critical,2026-02-16,2026-02-25
211,1026,Technology,Sarah Johnson,Work Environment,Office AC not working.,Facilities Maintenance,Resolved,Low,2026-01-20,2026-02-01
